File_Name,File_Path,Species
bowhead_whale_88006008.wav,./audio/bowhead_whale/bowhead_whale_88006008.wav,Bowhead Whale
bowhead_whale_88006006.wav,./audio/bowhead_whale/bowhead_whale_88006006.wav,Bowhead Whale
bowhead_whale_88006005.wav,./audio/bowhead_whale/bowhead_whale_88006005.wav,Bowhead Whale
bowhead_whale_7801800J.wav,./audio/bowhead_whale/bowhead_whale_7801800J.wav,Bowhead Whale
bowhead_whale_7801800H.wav,./audio/bowhead_whale/bowhead_whale_7801800H.wav,Bowhead Whale
bowhead_whale_88006036.wav,./audio/bowhead_whale/bowhead_whale_88006036.wav,Bowhead Whale
bowhead_whale_8800600R.wav,./audio/bowhead_whale/bowhead_whale_8800600R.wav,Bowhead Whale
bowhead_whale_8800600T.wav,./audio/bowhead_whale/bowhead_whale_8800600T.wav,Bowhead Whale
bowhead_whale_88006034.wav,./audio/bowhead_whale/bowhead_whale_88006034.wav,Bowhead Whale
bowhead_whale_8800600U.wav,./audio/bowhead_whale/bowhead_whale_8800600U.wav,Bowhead Whale
bowhead_whale_8800600P.wav,./audio/bowhead_whale/bowhead_whale_8800600P.wav,Bowhead Whale
bowhead_whale_8800600L.wav,./audio/bowhead_whale/bowhead_whale_8800600L.wav,Bowhead Whale
bowhead_whale_8800600K.wav,./audio/bowhead_whale/bowhead_whale_8800600K.wav,Bowhead Whale
bowhead_whale_88006016.wav,./audio/bowhead_whale/bowhead_whale_88006016.wav,Bowhead Whale
bowhead_whale_8800600A.wav,./audio/bowhead_whale/bowhead_whale_8800600A.wav,Bowhead Whale
bowhead_whale_8800600N.wav,./audio/bowhead_whale/bowhead_whale_8800600N.wav,Bowhead Whale
bowhead_whale_88006038.wav,./audio/bowhead_whale/bowhead_whale_88006038.wav,Bowhead Whale
bowhead_whale_8800600I.wav,./audio/bowhead_whale/bowhead_whale_8800600I.wav,Bowhead Whale
bowhead_whale_78018003.wav,./audio/bowhead_whale/bowhead_whale_78018003.wav,Bowhead Whale
bowhead_whale_8800600C.wav,./audio/bowhead_whale/bowhead_whale_8800600C.wav,Bowhead Whale
bowhead_whale_78018002.wav,./audio/bowhead_whale/bowhead_whale_78018002.wav,Bowhead Whale
bowhead_whale_72021005.wav,./audio/bowhead_whale/bowhead_whale_72021005.wav,Bowhead Whale
fin_whale_60009007.wav,./audio/fin_whale/fin_whale_60009007.wav,Fin Whale
fin_whale_60009005.wav,./audio/fin_whale/fin_whale_60009005.wav,Fin Whale
fin_whale_60009006.wav,./audio/fin_whale/fin_whale_60009006.wav,Fin Whale
fin_whale_78014004.wav,./audio/fin_whale/fin_whale_78014004.wav,Fin Whale
fin_whale_78014009.wav,./audio/fin_whale/fin_whale_78014009.wav,Fin Whale
fin_whale_61048007.wav,./audio/fin_whale/fin_whale_61048007.wav,Fin Whale
